coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,main_temp_celsius,main_temp_fahrenheit,main_feels_like_celsius,main_feels_like_fahrenheit,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,sys_sunrise_time,timezone,id,name,cod
87.3167,23.4833,803,Clouds,broken clouds,04n,stations,302.62,308.74,302.62,302.62,999,78,999,992,29.470000000000027,85.04600000000005,35.59000000000003,96.06200000000005,10000,1.91,98,83,1722448626,,,IN,1722382818,1722430427,2024-07-31T05:10:18,19800,1272175,Durgapur,200
86.9833,23.6833,804,Clouds,overcast clouds,04n,stations,302.69,308.45,302.69,302.69,1000,76,1000,986,29.54000000000002,85.17200000000004,35.30000000000001,95.54000000000002,10000,2.19,92,91,1722448626,,,IN,1722382878,1722430526,2024-07-31T05:11:18,19800,1278314,Asansol,200
84.8679,22.2309,502,Rain,heavy intensity rain,10n,stations,298.61,299.74,298.61,298.61,1001,97,1001,979,25.460000000000036,77.82800000000006,26.590000000000032,79.86200000000005,6731,1.95,224,100,1722448626,,,IN,1722383526,1722430894,2024-07-31T05:22:06,19800,1277247,Rourkela,200
74.2167,16.7,500,Rain,light rain,10n,stations,295.88,296.66,295.88,295.88,1009,94,1009,947,22.730000000000018,72.91400000000004,23.510000000000048,74.3180000000001,10000,3.76,243,100,1722448626,,,IN,1722386586,1722432946,2024-07-31T06:13:06,19800,1266285,Kolhāpur,200
74.6333,26.45,501,Rain,moderate rain,10n,stations,302.81,306.94,302.81,302.81,1000,68,1000,946,29.660000000000025,85.38800000000005,33.79000000000002,92.82200000000003,10000,6.34,252,97,1722448626,,,IN,1722385568,1722433764,2024-07-31T05:56:08,19800,1279159,Ajmer,200
77,20.7333,804,Clouds,overcast clouds,04n,stations,299.57,299.57,299.57,299.57,1003,86,1003,972,26.420000000000016,79.55600000000004,26.420000000000016,79.55600000000004,10000,6.08,297,100,1722448524,,,IN,1722385555,1722432641,2024-07-31T05:55:55,19800,1279105,Akola,200
76.8333,17.3333,804,Clouds,overcast clouds,04n,stations,298.47,299.25,298.47,298.47,1007,84,1007,955,25.32000000000005,77.57600000000009,26.100000000000023,78.98000000000005,10000,7.49,260,100,1722448626,,,IN,1722385903,1722432374,2024-07-31T06:01:43,19800,1270752,Gulbarga,200
70.0667,22.4667,802,Clouds,scattered clouds,03n,stations,301.44,306.51,301.44,301.44,1002,83,1002,1000,28.29000000000002,82.92200000000004,33.360000000000014,92.04800000000003,10000,8.05,221,49,1722448626,,,IN,1722387056,1722434467,2024-07-31T06:20:56,19800,1269317,Jamnagar,200
75.7667,23.1833,500,Rain,light rain,10n,stations,298.52,299.44,298.52,298.52,1003,89,1003,949,25.370000000000005,77.66600000000001,26.29000000000002,79.32200000000003,10000,4.85,250,100,1722448529,,,IN,1722385619,1722433169,2024-07-31T05:56:59,19800,1253914,Ujjain,200
77.2833,28.75,503,Rain,very heavy rain,10n,stations,299.28,299.28,299.28,299.28,999,86,999,976,26.129999999999995,79.03399999999999,26.129999999999995,79.03399999999999,5715,6.19,135,100,1722448627,1,9165,IN,1722384691,1722433369,2024-07-31T05:41:31,19800,1264773,Loni,200
